video_id,video_title,author,text,likes
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@angiielozz9118,Fue genial,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@EMILY-kp1cg,"...........""...,,,,',,,,,,,,,",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@ivancithotagle8372,"Acapulco Guerrero los extraña😔
Y mucho caravana coco cola☃️🎅🏻",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@JoseHernandez-zq2ec,Grupos de ia huasteca,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@armyruglaspasionmanual3341,Acapulco los extraňa coca cola que pasa 😢,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@cruz01xc_xc25,alguien me podria decir la cancion..,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@huubienvu4037,s si clb cũ gio,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@vanthihoang4709,chat luong tot,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@phuognguyen9405,ok,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@HoangSon-gb1mv,ca nhac co,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@jesusorea5883,que hermoso espectáculo no cabe duda q la tecnología tiene cosas buenas hojala y lo trajeran a veracruz,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@ZionDubpe,Your Father Died!!,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@mambagarcia9907,"deberían de venir a san Juan del río Querétaro ,acá hay muchos niños",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@cesarnava259,musica,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@mc.lemore2.0ttt61,Segundo 0:45 quien lo mal penso,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@montoyaprestigemusic1867,Aliens! Extraterrestres,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@llamamastarde4208,"bueno pues yo pienso que la verdad



Más información",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@gearsofschok,la cancion?,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@pagtigumtv3910,Wooow que genial 👏,3
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@ferhurtado5502,por que ya no han hecho en Celaya gto,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@machoibericodecrianza6853,llamamastarde,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@angelicaalvesbarbosa9207,llamamastarde wfuh,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@tonisanchez5024,+The notorious One k lo k,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@edarlega6623,Taste the feeling,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@aqibkhanaqibkhan9189,"lllllmm 
kHz Ha Oh zip drop dip 7",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@ntcsdakoto3427,Aqib Khan Aqib Khan,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@oscar-oj7vk,"la coca cola con ron blanco sabe.bien, un bacardi. o un appleton también los más.locos le.ponen Tonaya o.mezcalito del más judído. los pobres lo revuelven con viuda negra",6
